version,importer_version,source_key,season_type,canonical_gender_code,canonical_event_code,section,source_table_index,source_row_index,source_cells,source_line,raw_mark,normalized_mark,mark_flags,pending_ratification,indoor_mark_flag,altitude_flag,secondary_listing,outside_regular_collegiate_season,holder,school,record_date_text,source_as_of,source_url,local_html_sha256,parser_method,anchor_status,selection_policy,performance_count
collegiate_records_v1,local_tfn_importer_v2,men_indoor,indoor,m,HJ,field,3,2,"High Jump || 2.37 | 7-9¼ || Hollis Conway (Louisiana-Lafayette) || Indianapolis, Indiana || 3/11/89","High Jump 2.37 | 7-9¼ Hollis Conway (Louisiana-Lafayette) Indianapolis, Indiana 3/11/89",2.37,2.37,,False,False,False,False,False,| 7-9¼ Hollis Conway,Louisiana-Lafayette,3/11/89,"May 11, 2026",https://trackandfieldnews.com/records/mens-indoor-collegiate-records/,3e3998802a25f8d50d76dd3c96aaf5d00d18d723ae9b2f6c09e46914a6930cf7,table,ratified_active_candidate,first ratified non-secondary regular-season record listing,46093
collegiate_records_v1,local_tfn_importer_v2,men_indoor,indoor,m,LJ,field,3,5,"Long Jump || 8.59 | 28-2¼ || Miguel Pate (Alabama) || New York, New York || 3/01/02","Long Jump 8.59 | 28-2¼ Miguel Pate (Alabama) New York, New York 3/01/02",8.59,8.59,,False,False,False,False,False,| 28-2¼ Miguel Pate,Alabama,3/01/02,"May 11, 2026",https://trackandfieldnews.com/records/mens-indoor-collegiate-records/,3e3998802a25f8d50d76dd3c96aaf5d00d18d723ae9b2f6c09e46914a6930cf7,table,ratified_active_candidate,first ratified non-secondary regular-season record listing,64702
collegiate_records_v1,local_tfn_importer_v2,men_indoor,indoor,m,MILE,track,1,17,"Mile || 3:48.32 || Ethan Strand (North Carolina) || Boston, Massachusetts || 2/01/25","Mile 3:48.32 Ethan Strand (North Carolina) Boston, Massachusetts 2/01/25",3:48.32,228.32,,False,False,False,False,False,Ethan Strand,North Carolina,2/01/25,"May 11, 2026",https://trackandfieldnews.com/records/mens-indoor-collegiate-records/,3e3998802a25f8d50d76dd3c96aaf5d00d18d723ae9b2f6c09e46914a6930cf7,table,ratified_active_candidate,first ratified non-secondary regular-season record listing,76384
collegiate_records_v1,local_tfn_importer_v2,men_indoor,indoor,m,PV,field,3,3,"Pole Vault || 6.00 | 19-8¼ || KC Lightfoot (Baylor) || Lubbock, Texas || 2/13/21","Pole Vault 6.00 | 19-8¼ KC Lightfoot (Baylor) Lubbock, Texas 2/13/21",6.00,6.0,,False,False,False,False,False,| 19-8¼ KC Lightfoot,Baylor,2/13/21,"May 11, 2026",https://trackandfieldnews.com/records/mens-indoor-collegiate-records/,3e3998802a25f8d50d76dd3c96aaf5d00d18d723ae9b2f6c09e46914a6930cf7,table,ratified_active_candidate,first ratified non-secondary regular-season record listing,46630
collegiate_records_v1,local_tfn_importer_v2,men_indoor,indoor,m,SP,field,3,8,"Shot || 21.85 | 71-8¼ || Turner Washington (Arizona State) || Lubbock, Texas || 2/13/21","Shot 21.85 | 71-8¼ Turner Washington (Arizona State) Lubbock, Texas 2/13/21",21.85,21.85,,False,False,False,False,False,| 71-8¼ Turner Washington,Arizona State,2/13/21,"May 11, 2026",https://trackandfieldnews.com/records/mens-indoor-collegiate-records/,3e3998802a25f8d50d76dd3c96aaf5d00d18d723ae9b2f6c09e46914a6930cf7,table,ratified_active_candidate,first ratified non-secondary regular-season record listing,68014
collegiate_records_v1,local_tfn_importer_v2,men_indoor,indoor,m,TJ,field,3,6,"Triple Jump || 17.54 | 57-6½(A) || Jaydon Hibbert’ (Arkansas) || Albuquerque, New Mexico || 3/11/23","Triple Jump 17.54 | 57-6½(A) Jaydon Hibbert’ (Arkansas) Albuquerque, New Mexico 3/11/23",17.54,17.54,,False,False,False,False,False,| 57-6½,A,3/11/23,"May 11, 2026",https://trackandfieldnews.com/records/mens-indoor-collegiate-records/,3e3998802a25f8d50d76dd3c96aaf5d00d18d723ae9b2f6c09e46914a6930cf7,table,ratified_active_candidate,first ratified non-secondary regular-season record listing,30848
collegiate_records_v1,local_tfn_importer_v2,men_indoor,indoor,m,WT,field,3,9,"Weight || 25.66 | 84-2¼ || Ryan Johnson (Iowa) || Indianapolis, Indiana || 2/27/26","Weight 25.66 | 84-2¼ Ryan Johnson (Iowa) Indianapolis, Indiana 2/27/26",25.66,25.66,,False,False,False,False,False,| 84-2¼ Ryan Johnson,Iowa,2/27/26,"May 11, 2026",https://trackandfieldnews.com/records/mens-indoor-collegiate-records/,3e3998802a25f8d50d76dd3c96aaf5d00d18d723ae9b2f6c09e46914a6930cf7,table,ratified_active_candidate,first ratified non-secondary regular-season record listing,54196
collegiate_records_v1,local_tfn_importer_v2,women_absolute,outdoor,f,10000M,track,1,19,"10,000 || 30:50.43 || Parker Valby (Florida) || Azusa, California || 4/11/24","10,000 30:50.43 Parker Valby (Florida) Azusa, California 4/11/24",30:50.43,1850.43,,False,False,False,False,False,Parker Valby,Florida,4/11/24,"May 16, 2026",https://trackandfieldnews.com/records/womens-collegiate-records/,21627bd3e03da00d2080e044a509b19b061a6d2e72efef7618c22976f9684e5b,table,ratified_active_candidate,first ratified non-secondary regular-season record listing,16639
collegiate_records_v1,local_tfn_importer_v2,women_absolute,outdoor,f,100H,track,1,21,"100 Hurdles || 12.36 || Masai Russell (Kentucky) || Austin, Texas || 4/01/23","100 Hurdles 12.36 Masai Russell (Kentucky) Austin, Texas 4/01/23",12.36,12.36,,False,False,False,False,False,Masai Russell,Kentucky,4/01/23,"May 16, 2026",https://trackandfieldnews.com/records/womens-collegiate-records/,21627bd3e03da00d2080e044a509b19b061a6d2e72efef7618c22976f9684e5b,table,ratified_active_candidate,first ratified non-secondary regular-season record listing,92453
collegiate_records_v1,local_tfn_importer_v2,women_absolute,outdoor,f,100M,track,1,2,"100 || 10.75 || Sha’Carri Richardson (LSU) || Austin, Texas || 6/08/19","100 10.75 Sha’Carri Richardson (LSU) Austin, Texas 6/08/19",10.75,10.75,,False,False,False,False,False,Sha’Carri Richardson,LSU,6/08/19,"May 16, 2026",https://trackandfieldnews.com/records/womens-collegiate-records/,21627bd3e03da00d2080e044a509b19b061a6d2e72efef7618c22976f9684e5b,table,ratified_active_candidate,first ratified non-secondary regular-season record listing,96892
